has_sleep_data;efficiency;com.samsung.health.sleep.start_time;com.samsung.health.sleep.end_time
0;87.0;2020-07-19 22:08:00.000;2020-07-19 23:18:00.000
0;88.0;2020-07-18 04:01:00.000;2020-07-18 06:14:00.000
0;83.0;2020-07-05 03:31:00.000;2020-07-05 05:00:00.000
0;95.0;2020-07-21 22:14:00.000;2020-07-21 23:27:00.000
0;87.0;2020-07-19 23:28:00.000;2020-07-20 02:19:00.000
0;82.0;2020-07-11 03:32:00.000;2020-07-11 06:56:00.000
0;88.0;2020-07-22 22:16:00.000;2020-07-23 00:46:00.000
0;94.0;2020-07-08 22:12:00.000;2020-07-08 23:51:00.000
0;98.0;2020-07-07 22:12:00.000;2020-07-07 23:15:00.000
0;92.0;2020-07-23 00:55:00.000;2020-07-23 02:19:00.000
0;88.0;2020-07-24 05:59:00.000;2020-07-24 07:09:00.000
0;92.0;2020-07-11 22:08:00.000;2020-07-11 23:18:00.000
0;83.0;2020-07-13 23:22:00.000;2020-07-14 01:52:00.000
0;93.0;2020-07-24 22:11:00.000;2020-07-25 00:13:00.000
0;91.0;2020-07-14 03:39:00.000;2020-07-14 05:58:00.000
0;89.0;2020-07-09 05:57:00.000;2020-07-09 07:21:00.000
0;90.0;2020-07-17 04:01:00.000;2020-07-17 07:18:00.000
0;87.0;2020-07-23 22:21:00.000;2020-07-24 00:10:00.000
0;90.0;2020-07-26 22:13:00.000;2020-07-27 00:04:00.000
0;90.0;2020-07-17 21:57:00.000;2020-07-17 23:25:00.000
0;82.0;2020-07-12 07:19:00.000;2020-07-12 08:37:00.000
0;86.0;2020-07-28 21:40:00.000;2020-07-29 00:19:00.000
0;88.0;2020-07-27 00:14:00.000;2020-07-27 02:29:00.000
0;91.0;2020-07-25 22:26:00.000;2020-07-26 00:08:00.000
0;87.0;2020-07-19 06:00:00.000;2020-07-19 07:44:00.000
0;90.0;2020-07-15 21:54:00.000;2020-07-16 02:44:00.000
0;84.0;2020-07-31 22:04:00.000;2020-08-01 02:29:00.000
0;92.0;2020-07-19 04:06:00.000;2020-07-19 05:48:00.000
0;88.0;2020-07-27 21:53:00.000;2020-07-28 01:23:00.000
0;91.0;2020-07-29 00:29:00.000;2020-07-29 02:30:00.000
0;90.0;2020-07-22 04:06:00.000;2020-07-22 06:17:00.000
0;84.0;2020-08-03 23:52:00.000;2020-08-04 02:44:00.000
0;95.0;2020-07-18 22:01:00.000;2020-07-18 23:23:00.000
0;88.0;2020-07-21 23:37:00.000;2020-07-22 02:19:00.000
0;88.0;2020-08-07 04:10:00.000;2020-08-07 08:02:00.000
0;98.0;2020-07-30 06:20:00.000;2020-07-30 07:24:00.000
0;80.0;2020-08-01 04:18:00.000;2020-08-01 06:35:00.000
0;90.0;2020-07-24 00:30:00.000;2020-07-24 02:18:00.000
0;83.0;2020-07-24 03:52:00.000;2020-07-24 05:49:00.000
0;93.0;2020-08-02 22:33:00.000;2020-08-03 02:39:00.000
0;85.0;2020-08-10 04:16:00.000;2020-08-10 06:33:00.000
1;87.0;2020-07-20 03:38:00.000;2020-07-20 07:08:00.000
0;89.0;2020-07-26 04:00:00.000;2020-07-26 07:12:00.000
0;90.0;2020-07-26 00:36:00.000;2020-07-26 02:29:00.000
0;88.0;2020-08-04 04:19:00.000;2020-08-04 06:35:00.000
0;84.0;2020-07-28 01:36:00.000;2020-07-28 02:29:00.000
0;89.0;2020-07-23 03:54:00.000;2020-07-23 07:09:00.000
0;87.0;2020-08-06 00:33:00.000;2020-08-06 03:38:00.000
0;89.0;2020-07-30 22:08:00.000;2020-07-31 01:40:00.000
0;84.0;2020-08-12 21:43:00.000;2020-08-13 02:49:00.000
0;89.0;2020-07-28 04:15:00.000;2020-07-28 06:54:00.000
0;94.0;2020-07-25 00:25:00.000;2020-07-25 01:35:00.000
0;91.0;2020-08-07 21:35:00.000;2020-08-08 01:12:00.000
0;84.0;2020-08-09 00:33:00.000;2020-08-09 02:43:00.000
0;90.0;2020-08-03 04:17:00.000;2020-08-03 06:52:00.000
0;88.0;2020-08-16 23:40:00.000;2020-08-17 02:50:00.000
0;85.0;2020-07-27 03:56:00.000;2020-07-27 06:20:00.000
0;82.0;2020-08-10 21:37:00.000;2020-08-10 22:41:00.000
0;97.0;2020-07-31 01:50:00.000;2020-07-31 02:29:00.000
0;90.0;2020-08-11 00:59:00.000;2020-08-11 02:44:00.000
0;76.0;2020-08-06 04:01:00.000;2020-08-06 05:46:00.000
0;91.0;2020-07-29 05:07:00.000;2020-07-29 06:59:00.000
0;86.0;2020-08-13 04:16:00.000;2020-08-13 07:28:00.000
0;90.0;2020-08-14 21:35:00.000;2020-08-15 03:38:00.000
0;89.0;2020-08-20 21:09:00.000;2020-08-20 23:07:00.000
0;96.0;2020-08-03 21:47:00.000;2020-08-03 23:43:00.000
0;86.0;2020-08-17 04:30:00.000;2020-08-17 06:06:00.000
0;88.0;2020-08-06 21:35:00.000;2020-08-07 02:15:00.000
0;92.0;2020-08-20 23:28:00.000;2020-08-21 01:46:00.000
0;69.0;2020-08-02 21:00:00.000;2020-08-02 22:23:00.000
0;83.0;2020-08-09 04:11:00.000;2020-08-09 06:57:00.000
0;84.0;2020-08-09 22:41:00.000;2020-08-10 02:44:00.000
0;85.0;2020-08-18 04:30:00.000;2020-08-18 06:27:00.000
0;91.0;2020-08-25 00:35:00.000;2020-08-25 03:29:00.000
